Controls
"ID","Type","Name","Page","Description"
"0","Label","Label_ID0","Control Server is Offline",""
"0","Image","Image1","Main",""
"0","Image","Image2","Main",""
"0","Shape","Offline Window","Offline Page",""
"0","Label","Label","Offline Page",""
"0","Label","Label","Control Server is Offline",""
"0","Shape","Modal Window","Control Server is Offline",""
"1","Slider","Slider1","Main",""
"2","Slider","Slider1_ID3","Main",""
"3","Slider","Slider1_ID4","Main",""
"4","Slider","Slider1_ID6","Main",""
"5","Slider","Slider1_ID7","Main",""
"6","Slider","Slider1_ID8","Main",""
"7","Slider","Slider1_ID9","Main",""
"11","Slider","Slider1_ID8","Main",""
"12","Slider","Slider1_ID9","Main",""
"13","Slider","Slider1_ID10","Main",""
"14","Slider","Slider1_ID11","Main",""
"15","Slider","Slider1_ID12","Main",""
"16","Slider","Slider1_ID13","Main",""
"17","Slider","Slider1_ID14","Main",""
"21","Button","Button3","Main",""
"22","Button","Button3_ID0","Main",""
"23","Button","Button3_ID0","Main",""
"24","Button","Button3_ID0","Main",""
"25","Button","Button3_ID0","Main",""
"26","Button","Button3_ID0","Main",""
"27","Button","Button3_ID0","Main",""
"41","Button","Button2_ID0","Main",""
"101","Button","Button3_ID8","Main",""
"102","Button","Button3_ID9","Main",""
"103","Button","Button3_ID10","Main",""
"104","Button","Button3_ID18","Main",""
"105","Button","Button3_ID19","Main",""
"106","Button","Button3_ID20","Main",""
"107","Button","Button3_ID28","Main",""
"108","Button","Button3_ID29","Main",""
"109","Button","Button3_ID32","Main",""
"110","Button","Button3_ID33","Main",""
"111","Button","Button3_ID34","Main",""
"112","Button","Button3_ID35","Main",""
"113","Button","Button3_ID36","Main",""
"114","Button","Button3_ID37","Main",""
"115","Button","Button3_ID38","Main",""
"116","Button","Button3_ID39","Main",""
"117","Button","Button3_ID40","Main",""
"118","Button","Button3_ID42","Main",""
"119","Button","Button3_ID43","Main",""
"120","Button","Button3_ID44","Main",""
"121","Button","Button3_ID45","Main",""
"122","Button","Button3_ID46","Main",""
"123","Button","Button3_ID47","Main",""
"124","Button","Button3_ID48","Main",""
"125","Button","Button3_ID49","Main",""
"126","Button","Button3_ID50","Main",""
"127","Button","Button3_ID51","Main",""
"128","Button","Button3_ID52","Main",""
"129","Button","Button3_ID53","Main",""
"130","Button","Button3_ID54","Main",""
"131","Button","Button3_ID55","Main",""
"132","Button","Button3_ID56","Main",""
"133","Button","Button3_ID57","Main",""
"134","Button","Button3_ID58","Main",""
"135","Button","Button3_ID59","Main",""
"136","Button","Button3_ID60","Main",""
"137","Button","Button3_ID61","Main",""
"138","Button","Button3_ID62","Main",""
"139","Button","Button3_ID63","Main",""
"140","Button","Button3_ID64","Main",""
"141","Button","Button3_ID65","Main",""
"142","Button","Button3_ID66","Main",""


Popup Pages
"ID","Name","Description"
"2","Control Server is Offline",""
"65535","Offline Page",""


Pages
"ID","Name","Description"
"0","Main",""


Popup Groups
"Group ID","Group Name","Popup Page Name"



