Timestamp,Device Name,MessageType,Data
2025-08-25 13:42:10.581388,Processor,Option,'PrintToTrace,True'
2025-08-25 13:42:25.703381,iPad,Option,'PrintToTrace,True'
2025-08-25 13:42:40.812236,Phone,Option,'PrintToTrace,True'
2025-08-25 13:42:40.815236,MainTP,Option,'PrintToTrace,True'
2025-08-25 13:42:40.815236,MainTP,Command,'AddPanel,panel0'
2025-08-25 13:42:40.816235,MainTP,Command,'AddPanel,panel1'
2025-08-25 13:42:40.843129,AVR,Option,'PrintToTrace,True'
2025-08-25 13:42:40.846130,AVR,Event,'OnlineStatus,Online'
2025-08-25 13:42:40.905105,Projector,Option,'PrintToTrace,True'
2025-08-25 13:42:40.906105,Projector,Event,'ConnectionStatus,Disconnected,None'
2025-08-25 13:42:41.464827,MainTP,Command,'HideAllPopups'
2025-08-25 13:42:41.466108,MainTP,Command,'ShowPage,Start Page'
2025-08-25 13:42:51.494068,Projector,Command,'Connect'
2025-08-25 13:42:51.694784,Projector,Event,'ConnectionStatus,Connected,None'
2025-08-25 13:42:51.787298,MainTP,Command,'SetText,Label,100,lbl_projector,Projector\nStatus'
2025-08-25 13:43:01.398470,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-25 13:43:01.799153,Projector,Command,'UpdatePower,None'
2025-08-25 13:43:01.799153,Projector,API,To Device,'~00150 1\r'
2025-08-25 13:43:02.234000,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-25 13:43:02.243852,Projector,Event,'Power,Off,None'
2025-08-25 13:43:02.327549,MainTP,Command,'SetStateButton,101,btn_projector,0'
2025-08-25 13:43:02.327549,MainTP,Command,'SetTextButton,101,btn_projector,Off'
2025-08-25 13:43:02.328542,MainTP,Command,'ShowPage,Start Page'
2025-08-25 13:43:02.328542,MainTP,Command,'HideAllPopups'
2025-08-25 13:43:02.328542,Projector,Event,'Input,None,None'
2025-08-25 13:43:02.328542,Projector,Event,'DisplayMode,None,None'
2025-08-25 13:43:11.743673,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"Timestamp,Device Name,MessageType,Data
2025-08-25 13:43:12.341374,Projector,Command,'UpdatePower,None'
2025-08-25 13:43:12.341374,Projector,API,To Device,'~00150 1\r'
2025-08-25 13:43:12.669377,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-25 13:43:22.065464,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-25 13:43:22.685177,Projector,Command,'UpdatePower,None'
2025-08-25 13:43:22.685177,Projector,API,To Device,'~00150 1\r'
2025-08-25 13:43:23.086793,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-25 13:43:32.633118,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-25 13:43:33.103917,Projector,Command,'UpdatePower,None'
2025-08-25 13:43:33.103917,Projector,API,To Device,'~00150 1\r'
2025-08-25 13:43:33.478284,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-25 13:43:43.500406,Projector,Command,'UpdatePower,None'
2025-08-25 13:43:43.500406,Projector,API,To Device,'~00150 1\r'
2025-08-25 13:43:43.624792,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-25 13:43:43.763775,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-25 13:43:53.635780,Projector,Command,'UpdatePower,None'
2025-08-25 13:43:53.635780,Projector,API,To Device,'~00150 1\r'
2025-08-25 13:43:53.759943,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-25 13:43:54.307826,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-25 13:44:03.780406,Projector,Command,'UpdatePower,None'
2025-08-25 13:44:03.781405,Projector,API,To Device,'~00150 1\r'
2025-08-25 13:44:04.138736,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-25 13:44:04.695454,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-25 13:44:14.148450,Projector,Command,'UpdatePower,None'Timestamp,Device Name,MessageType,Data
2025-08-25 13:44:14.148450,Projector,API,To Device,'~00150 1\r'
2025-08-25 13:44:14.381754,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-25 13:44:15.231941,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-25 13:44:24.401636,Projector,Command,'UpdatePower,None'
2025-08-25 13:44:24.401636,Projector,API,To Device,'~00150 1\r'
2025-08-25 13:44:24.771955,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-25 13:44:25.570969,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-25 13:44:34.787542,Projector,Command,'UpdatePower,None'
2025-08-25 13:44:34.788538,Projector,API,To Device,'~00150 1\r'
2025-08-25 13:44:35.827861,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-25 13:44:35.899409,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-25 13:44:45.842542,Projector,Command,'UpdatePower,None'
2025-08-25 13:44:45.842542,Projector,API,To Device,'~00150 1\r'
2025-08-25 13:44:46.132608,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-25 13:44:46.728208,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-25 13:44:56.141044,Projector,Command,'UpdatePower,None'
2025-08-25 13:44:56.141044,Projector,API,To Device,'~00150 1\r'
2025-08-25 13:44:56.512324,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-25 13:44:57.486884,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-25 13:45:06.519402,Projector,Command,'UpdatePower,None'
2025-08-25 13:45:06.519402,Projector,API,To Device,'~00150 1\r'
2025-08-25 13:45:06.828525,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-25 13:45:07.829453,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"Timestamp,Device Name,MessageType,Data
2025-08-25 13:45:16.832059,Projector,Command,'UpdatePower,None'
2025-08-25 13:45:16.832059,Projector,API,To Device,'~00150 1\r'
2025-08-25 13:45:17.216160,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-25 13:45:18.270384,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-25 13:45:27.233581,Projector,Command,'UpdatePower,None'
2025-08-25 13:45:27.233581,Projector,API,To Device,'~00150 1\r'
2025-08-25 13:45:27.601101,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-25 13:45:28.566641,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-25 13:45:37.613266,Projector,Command,'UpdatePower,None'
2025-08-25 13:45:37.613266,Projector,API,To Device,'~00150 1\r'
2025-08-25 13:45:37.830568,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-25 13:45:39.147988,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-25 13:45:47.853298,Projector,Command,'UpdatePower,None'
2025-08-25 13:45:47.853298,Projector,API,To Device,'~00150 1\r'
2025-08-25 13:45:48.038088,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-25 13:45:50.226164,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-25 13:45:58.062585,Projector,Command,'UpdatePower,None'
2025-08-25 13:45:58.062585,Projector,API,To Device,'~00150 1\r'
2025-08-25 13:45:58.312751,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-25 13:46:00.708618,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-25 13:46:08.329461,Projector,Command,'UpdatePower,None'Timestamp,Device Name,MessageType,Data
2025-08-25 13:47:35.361680,Processor,Option,'PrintToTrace,True'
2025-08-25 13:47:35.393698,iPad,Option,'PrintToTrace,True'
2025-08-25 13:47:35.409242,Phone,Option,'PrintToTrace,True'
2025-08-25 13:47:35.412243,MainTP,Option,'PrintToTrace,True'
2025-08-25 13:47:35.412243,MainTP,Command,'AddPanel,panel0'
2025-08-25 13:47:35.412243,MainTP,Command,'AddPanel,panel1'
2025-08-25 13:47:35.423452,AVR,Option,'PrintToTrace,True'
2025-08-25 13:47:35.454681,Projector,Option,'PrintToTrace,True'
2025-08-25 13:47:35.455681,Projector,Event,'ConnectionStatus,Disconnected,None'
2025-08-25 13:47:35.913865,MainTP,Command,'HideAllPopups'
2025-08-25 13:47:35.913865,MainTP,Command,'ShowPage,Start Page'
2025-08-25 13:47:45.561309,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-25 13:47:45.927804,Projector,Command,'Connect'
2025-08-25 13:47:45.975486,Projector,Event,'ConnectionStatus,Connected,None'
2025-08-25 13:47:46.100979,MainTP,Command,'SetText,Label,100,lbl_projector,Projector\nStatus'
2025-08-25 13:47:55.467922,Projector,Command,'Connect'
2025-08-25 13:47:56.115923,Projector,Command,'UpdatePower,None'
2025-08-25 13:47:56.116821,Projector,API,To Device,'~00150 1\r'
2025-08-25 13:47:56.488853,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-25 13:47:56.490858,Projector,Event,'Power,Off,None'
2025-08-25 13:47:56.492971,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-25 13:47:56.582182,MainTP,Command,'SetStateButton,101,btn_projector,0'
2025-08-25 13:47:56.583181,MainTP,Command,'SetTextButton,101,btn_projector,Off'
2025-08-25 13:47:56.583181,MainTP,Command,'ShowPage,Start Page'
2025-08-25 13:47:56.583181,MainTP,Command,'HideAllPopups'
2025-08-25 13:47:56.584180,Projector,Event,'Input,None,None'
2025-08-25 13:47:56.584180,Projector,Event,'DisplayMode,None,None'
2025-08-25 13:48:05.523347,Projector,Command,'Connect'
2025-08-25 13:48:06.598174,Projector,Command,'UpdatePower,None'
2025-08-25 13:48:06.598174,Projector,API,To Device,'~00150 1\r'
2025-08-25 13:48:07.050226,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-25 13:48:07.110367,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-25 13:48:15.582860,Projector,Command,'Connect'
2025-08-25 13:48:17.067367,Projector,Command,'UpdatePower,None'
2025-08-25 13:48:17.067367,Projector,API,To Device,'~00150 1\r'
2025-08-25 13:48:17.390455,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-25 13:48:17.461564,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-25 13:48:25.634642,Projector,Command,'Connect'
2025-08-25 13:48:27.398164,Projector,Command,'UpdatePower,None'
2025-08-25 13:48:27.399078,Projector,API,To Device,'~00150 1\r'
2025-08-25 13:48:27.721580,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-25 13:48:27.860013,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-25 13:48:35.687758,Projector,Command,'Connect'Timestamp,Device Name,MessageType,Data
2025-08-25 13:48:37.741276,Projector,Command,'UpdatePower,None'
2025-08-25 13:48:37.742294,Projector,API,To Device,'~00150 1\r'
2025-08-25 13:48:38.036775,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-25 13:48:38.564188,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-25 13:48:45.737162,Projector,Command,'Connect'
2025-08-25 13:48:48.050095,Projector,Command,'UpdatePower,None'
2025-08-25 13:48:48.050095,Projector,API,To Device,'~00150 1\r'
2025-08-25 13:48:48.283814,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-25 13:48:48.741643,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-25 13:48:55.792831,Projector,Command,'Connect'
2025-08-25 13:48:58.304738,Projector,Command,'UpdatePower,None'
2025-08-25 13:48:58.305753,Projector,API,To Device,'~00150 1\r'
2025-08-25 13:48:58.646106,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-25 13:48:59.890327,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-25 13:49:05.841953,Projector,Command,'Connect'
2025-08-25 13:49:08.655369,Projector,Command,'UpdatePower,None'
2025-08-25 13:49:08.655369,Projector,API,To Device,'~00150 1\r'
2025-08-25 13:49:08.996608,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-25 13:49:10.468753,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-25 13:49:15.913969,Projector,Command,'Connect'
2025-08-25 13:49:19.001702,Projector,Command,'UpdatePower,None'
2025-08-25 13:49:19.001702,Projector,API,To Device,'~00150 1\r'
2025-08-25 13:49:19.435796,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-25 13:49:21.063605,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-25 13:49:25.971835,Projector,Command,'Connect'
2025-08-25 13:49:29.447681,Projector,Command,'UpdatePower,None'
2025-08-25 13:49:29.447681,Projector,API,To Device,'~00150 1\r'
2025-08-25 13:49:29.724188,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-25 13:49:31.717233,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-25 13:49:36.034341,Projector,Command,'Connect'Timestamp,Device Name,MessageType,Data
2025-08-25 13:49:39.741899,Projector,Command,'UpdatePower,None'
2025-08-25 13:49:39.741899,Projector,API,To Device,'~00150 1\r'
2025-08-25 13:49:40.004292,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-25 13:49:41.749976,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-25 13:49:46.089675,Projector,Command,'Connect'
2025-08-25 13:49:50.018297,Projector,Command,'UpdatePower,None'
2025-08-25 13:49:50.018297,Projector,API,To Device,'~00150 1\r'
2025-08-25 13:49:50.249205,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-25 13:49:51.766301,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-25 13:49:56.137043,Projector,Command,'Connect'
2025-08-25 13:50:00.266238,Projector,Command,'UpdatePower,None'
2025-08-25 13:50:00.266238,Projector,API,To Device,'~00150 1\r'
2025-08-25 13:50:00.700572,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
