Timestamp,Device Name,MessageType,Data
2025-09-05 11:21:21.657801,Processor,Option,'PrintToTrace,True'
2025-09-05 11:21:36.884813,iPad,Option,'PrintToTrace,True'
2025-09-05 11:21:52.159661,Phone,Option,'PrintToTrace,True'
2025-09-05 11:21:52.161662,MainTP,Option,'PrintToTrace,True'
2025-09-05 11:21:52.161662,MainTP,Command,'AddPanel,BonusRoom0'
2025-09-05 11:21:52.162674,MainTP,Command,'AddPanel,BonusRoom1'
2025-09-05 11:21:52.234732,AVR,Option,'PrintToTrace,True'
2025-09-05 11:21:52.239726,AVR,Event,'OnlineStatus,Online'
2025-09-05 11:21:52.295256,Projector,Option,'PrintToTrace,True'
2025-09-05 11:21:52.296245,Projector,Event,'ConnectionStatus,Disconnected,None'
2025-09-05 11:21:52.314100,MainTP,Command,'HideAllPopups'
2025-09-05 11:21:52.314100,MainTP,Command,'ShowPage,Start Page'
2025-09-05 11:21:52.388057,iPad,Event,'DisplayStateChanged,Unavailable'
2025-09-05 11:21:52.388057,iPad,Event,'DisplayTimerChanged,Unavailable'
2025-09-05 11:21:52.388057,iPad,Event,'DisplayTimerEnabledChanged,Unavailable'
2025-09-05 11:21:52.389044,iPad,Event,'InactivityTime,0'
2025-09-05 11:21:52.389044,iPad,Event,'LightDetectedStateChanged,Unavailable'
2025-09-05 11:21:52.389044,iPad,Event,'SleepTimerChanged,Unavailable'
2025-09-05 11:21:52.389044,iPad,Event,'SleepTimerEnabledChanged,Unavailable'
2025-09-05 11:22:02.323884,Projector,Command,'Connect'
2025-09-05 11:22:02.819332,Projector,Event,'ConnectionStatus,Connected,None'
2025-09-05 11:22:02.819332,MainTP,Command,'SetText,Label,100,lbl_projector,Projector\nStatus'
2025-09-05 11:22:07.746440,Phone,Event,'DisplayStateChanged,Unavailable'
2025-09-05 11:22:07.746440,Phone,Event,'DisplayTimerChanged,Unavailable'
2025-09-05 11:22:07.747440,Phone,Event,'DisplayTimerEnabledChanged,Unavailable'
2025-09-05 11:22:07.747440,Phone,Event,'InactivityTime,0'
2025-09-05 11:22:07.747440,Phone,Event,'LightDetectedStateChanged,Unavailable'
2025-09-05 11:22:07.747440,Phone,Event,'SleepTimerChanged,Unavailable'
2025-09-05 11:22:07.747440,Phone,Event,'SleepTimerEnabledChanged,Unavailable'
