Timestamp,Device Name,MessageType,Data
2025-08-26 11:59:25.093368,Projector,API,To Device,'~00150 1\r'
2025-08-26 11:59:25.283372,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 11:59:27.707821,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 11:59:35.301307,Projector,Command,'UpdatePower,None'
2025-08-26 11:59:35.301307,Projector,API,To Device,'~00150 1\r'
2025-08-26 11:59:35.571540,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 11:59:37.890040,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 11:59:45.595903,Projector,Command,'UpdatePower,None'
2025-08-26 11:59:45.595903,Projector,API,To Device,'~00150 1\r'
2025-08-26 11:59:45.800614,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 11:59:48.480891,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 11:59:55.813656,Projector,Command,'UpdatePower,None'
2025-08-26 11:59:55.813656,Projector,API,To Device,'~00150 1\r'
2025-08-26 11:59:56.122725,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 11:59:58.976806,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 12:00:06.139214,Projector,Command,'UpdatePower,None'
2025-08-26 12:00:06.139214,Projector,API,To Device,'~00150 1\r'
2025-08-26 12:00:06.375317,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 12:00:09.089055,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 12:00:16.392414,Projector,Command,'UpdatePower,None'
2025-08-26 12:00:16.392414,Projector,API,To Device,'~00150 1\r'
2025-08-26 12:00:16.663648,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 12:00:20.484721,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"Timestamp,Device Name,MessageType,Data
2025-08-26 12:00:26.680715,Projector,Command,'UpdatePower,None'
2025-08-26 12:00:26.680715,Projector,API,To Device,'~00150 1\r'
2025-08-26 12:00:26.915084,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 12:00:30.902654,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 12:00:36.938199,Projector,Command,'UpdatePower,None'
2025-08-26 12:00:36.938199,Projector,API,To Device,'~00150 1\r'
2025-08-26 12:00:37.006205,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 12:00:41.156955,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 12:00:47.026443,Projector,Command,'UpdatePower,None'
2025-08-26 12:00:47.026443,Projector,API,To Device,'~00150 1\r'
2025-08-26 12:00:47.166814,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 12:00:52.231145,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 12:00:57.176329,Projector,Command,'UpdatePower,None'
2025-08-26 12:00:57.177243,Projector,API,To Device,'~00150 1\r'
2025-08-26 12:00:57.386973,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 12:01:02.116954,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 12:01:07.406838,Projector,Command,'UpdatePower,None'
2025-08-26 12:01:07.407749,Projector,API,To Device,'~00150 1\r'
2025-08-26 12:01:07.543830,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 12:01:12.417096,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 12:01:17.563031,Projector,Command,'UpdatePower,None'
2025-08-26 12:01:17.563031,Projector,API,To Device,'~00150 1\r'
2025-08-26 12:01:17.660740,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 12:01:23.891601,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"Timestamp,Device Name,MessageType,Data
2025-08-26 12:01:27.672610,Projector,Command,'UpdatePower,None'
2025-08-26 12:01:27.672610,Projector,API,To Device,'~00150 1\r'
2025-08-26 12:01:27.914215,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 12:01:34.054466,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 12:01:37.943277,Projector,Command,'UpdatePower,None'
2025-08-26 12:01:37.943277,Projector,API,To Device,'~00150 1\r'
2025-08-26 12:01:38.189111,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 12:01:44.512174,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 12:01:48.207954,Projector,Command,'UpdatePower,None'
2025-08-26 12:01:48.207954,Projector,API,To Device,'~00150 1\r'
2025-08-26 12:01:48.516071,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 12:01:54.883203,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 12:01:58.526067,Projector,Command,'UpdatePower,None'
2025-08-26 12:01:58.526067,Projector,API,To Device,'~00150 1\r'
2025-08-26 12:01:58.884664,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 12:02:05.409308,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 12:02:08.903054,Projector,Command,'UpdatePower,None'
2025-08-26 12:02:08.903054,Projector,API,To Device,'~00150 1\r'
2025-08-26 12:02:09.016707,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 12:02:15.725257,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 12:02:19.023763,Projector,Command,'UpdatePower,None'
2025-08-26 12:02:19.023763,Projector,API,To Device,'~00150 1\r'
2025-08-26 12:02:19.262929,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 12:02:27.019605,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"Timestamp,Device Name,MessageType,Data
2025-08-26 12:02:29.286765,Projector,Command,'UpdatePower,None'
2025-08-26 12:02:29.286765,Projector,API,To Device,'~00150 1\r'
2025-08-26 12:02:29.398735,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 12:02:37.319220,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 12:02:39.426224,Projector,Command,'UpdatePower,None'
2025-08-26 12:02:39.427224,Projector,API,To Device,'~00150 1\r'
2025-08-26 12:02:39.721288,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 12:02:47.736248,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 12:02:49.735548,Projector,Command,'UpdatePower,None'
2025-08-26 12:02:49.735548,Projector,API,To Device,'~00150 1\r'
2025-08-26 12:02:49.974733,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 12:02:58.245303,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 12:02:59.986795,Projector,Command,'UpdatePower,None'
2025-08-26 12:02:59.986795,Projector,API,To Device,'~00150 1\r'
2025-08-26 12:03:00.346050,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 12:03:08.477694,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 12:03:10.369572,Projector,Command,'UpdatePower,None'
2025-08-26 12:03:10.369572,Projector,API,To Device,'~00150 1\r'
2025-08-26 12:03:10.685482,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
2025-08-26 12:03:18.977727,Projector,API,From Device,"b'Ok003V\\xaf7000C1500\\r'"
2025-08-26 12:03:20.712369,Projector,Command,'UpdatePower,None'Timestamp,Device Name,MessageType,Data
2025-08-26 12:03:20.712369,Projector,API,To Device,'~00150 1\r'
2025-08-26 12:03:20.914686,Projector,API,From Device,b'Ok003V\xaf7000C1500\r'
