Timestamp,Device Name,MessageType,Data
2025-09-03 12:59:49.650207,room0 Video Switcher,Command,"UpdateVideoMuteDecoder,{'ID': '1'}"
2025-09-03 12:59:49.944994,room0 Video Conferencer,Command,'UpdateIPAddress,None'
2025-09-03 12:59:49.944994,room0 Video Conferencer,API,To Device,'ipaddress get\r\n'
2025-09-03 12:59:50.652303,room0 Video Switcher,API,To Device,'w3cv\r\n'
2025-09-03 12:59:50.652303,room0 Video Switcher,API,To Device,'{1o:B\r}\r'
2025-09-03 12:59:51.043194,room0 Display13,Command,'Connect'
2025-09-03 12:59:51.336999,room0 Display2,Command,'Connect'
2025-09-03 12:59:51.487960,room0 MediaPort 1,Command,'Connect'
2025-09-03 12:59:51.581079,room0 Display5,Command,'Connect'
2025-09-03 12:59:51.627848,room0 MediaPort 2,Command,'Connect'
2025-09-03 12:59:51.673897,room0 Display8,Command,'Connect'
2025-09-03 12:59:51.686916,room0 Display1,Command,'Connect'
2025-09-03 12:59:51.750105,room0 Display4,Command,'Connect'
2025-09-03 12:59:51.796062,room0 Display3,Command,'Connect'
2025-09-03 12:59:51.951085,room0 Video Conferencer,Command,'UpdateVideoContentSource,None'
2025-09-03 12:59:51.951085,room0 Video Conferencer,API,To Device,'vcbutton source get\r'
2025-09-03 12:59:53.328924,room0 MediaPort 1,Command,'Connect'
2025-09-03 12:59:53.391251,room0 MediaPort 2,Command,'Connect'
2025-09-03 12:59:53.690798,room0 Display10,Command,'Connect'
2025-09-03 12:59:53.767657,Annotator,Command,'Connect'
2025-09-03 12:59:53.814412,room0 Display7,Command,'Connect'
2025-09-03 12:59:53.861980,room0 Display9,Command,'Connect'
2025-09-03 12:59:53.987015,room0 Audio DSP,Command,'Connect'
2025-09-03 12:59:54.095690,room0 Display12,Command,'Connect'
2025-09-03 12:59:54.173876,room0 Display6,Command,'Connect'
2025-09-03 12:59:54.188886,room0 Display11,Command,'Connect'
2025-09-03 12:59:54.235699,room0 ULX Mic2,Command,'Connect'
2025-09-03 12:59:54.235699,room0 Display14,Command,'Connect'
2025-09-03 12:59:54.295451,room0 ULX Mic1,Command,'Connect'
2025-09-03 12:59:54.976121,room0 Video Conferencer,Command,'UpdateIPAddress,None'
2025-09-03 12:59:54.976121,room0 Video Conferencer,API,To Device,'ipaddress get\r\n'
2025-09-03 12:59:54.976121,room0 Video Conferencer,Command,'UpdateRegistration,None'
2025-09-03 12:59:54.976121,room0 Video Conferencer,API,To Device,'callstate get\r'
2025-09-03 12:59:54.976121,room0 Video Conferencer,Command,'UpdateMeetingStatus,None'
2025-09-03 12:59:55.983461,room0 Video Conferencer,Command,'UpdateVideoContentSource,None'
2025-09-03 12:59:55.983461,room0 Video Conferencer,API,To Device,'vcbutton source get\r'
2025-09-03 12:59:58.483928,room0 MediaPort 1,Command,'Connect'
2025-09-03 12:59:58.560628,room0 MediaPort 2,Command,'Connect'
2025-09-03 12:59:59.111664,Annotator,Command,'UpdatePowerSaveMode,None'
2025-09-03 12:59:59.653257,room0 Video Switcher,Command,"UpdateVideoMuteDecoder,{'ID': '1'}"
2025-09-03 13:00:00.025645,room0 Video Conferencer,Command,'UpdateIPAddress,None'
2025-09-03 13:00:00.025645,room0 Video Conferencer,API,To Device,'ipaddress get\r\n'
2025-09-03 13:00:00.026638,room0 Video Conferencer,Command,'UpdateVideoContentSource,None'
2025-09-03 13:00:00.026638,room0 Video Conferencer,API,To Device,'vcbutton source get\r'
2025-09-03 13:00:00.663179,room0 Video Switcher,API,To Device,'w3cv\r\n'
2025-09-03 13:00:00.663179,room0 Video Switcher,API,To Device,'{1o:B\r}\r'
2025-09-03 13:00:01.108398,room0 Display13,Command,'Connect'
2025-09-03 13:00:01.416913,room0 Display2,Command,'Connect'
2025-09-03 13:00:01.566395,room0 MediaPort 1,Command,'Connect'
2025-09-03 13:00:01.721324,room0 Display5,Command,'Connect'
2025-09-03 13:00:01.767747,room0 MediaPort 2,Command,'Connect'
2025-09-03 13:00:01.814018,room0 Display8,Command,'Connect'
